year,week,month,report_no,district,dengue_cases,cumulative_cases,outbreak_level,data_status,use_for_model,rainfall_mm,humidity_pct,temp_max_c,temp_min_c,temp_mean_c,weather_days_count,weather_source,note
2022,1,1,Vol_49_no_02,Colombo,47.0,476.0,Low,available,YES,15.0,77.64,31.96,24.24,28.1,7,rf.xlsx + RH.xlsx + tem.xlsx weekly aggregation,direct from uploaded PDF
2022,2,1,Vol_49_no_03,Colombo,31.0,788.0,Low,available,YES,0.4,76.57,32.36,24.6,28.48,7,rf.xlsx + RH.xlsx + tem.xlsx weekly aggregation,direct from uploaded PDF
2022,3,1,Vol_49_no_04,Colombo,30.0,1095.0,Low,available,YES,2.3,70.5,33.19,23.9,28.54,7,rf.xlsx + RH.xlsx + tem.xlsx weekly aggregation,direct from uploaded PDF
2022,4,1,Vol_49_no_05,Colombo,20.0,1295.0,Low,available,YES,58.6,76.14,31.4,22.63,27.01,7,rf.xlsx + RH.xlsx + tem.xlsx weekly aggregation,direct from uploaded PDF
2022,5,2,Vol_49_no_06,Colombo,13.0,1430.0,Low,available,YES,0.0,74.5,31.71,24.0,27.86,7,rf.xlsx + RH.xlsx + tem.xlsx weekly aggregation,direct from uploaded PDF
2022,6,2,Vol_49_no_07,Colombo,121.0,1551.0,Medium,available,YES,0.2,70.57,32.61,24.21,28.41,7,rf.xlsx + RH.xlsx + tem.xlsx weekly aggregation,calculated/validated from cumulative difference
2022,7,2,Vol_49_no_08,Colombo,126.0,1677.0,Medium,available,YES,19.2,73.5,31.66,23.7,27.68,7,rf.xlsx + RH.xlsx + tem.xlsx weekly aggregation,calculated/validated from cumulative difference
2022,8,2,Vol_49_no_09,Colombo,117.0,1794.0,Medium,available,YES,2.4,77.29,31.8,25.1,28.45,7,rf.xlsx + RH.xlsx + tem.xlsx weekly aggregation,calculated/validated from cumulative difference
2022,9,3,Vol_49_no_10,Colombo,60.0,1854.0,Low,available,YES,3.1,71.07,33.49,24.51,29.0,7,rf.xlsx + RH.xlsx + tem.xlsx weekly aggregation,calculated/validated from cumulative difference
2022,10,3,Vol_49_no_11,Colombo,98.0,1952.0,Low,available,YES,1.4,76.79,32.16,25.44,28.8,7,rf.xlsx + RH.xlsx + tem.xlsx weekly aggregation,calculated/validated from cumulative difference
