year,week,rainfall_mm,humidity_pct,temp_max_c,temp_min_c,temp_mean_c,dengue_cases
2026,1,12.6,76.14,30.79,24.1,27.44,216.0
2026,2,5.6,78.64,30.97,24.66,27.81,265.0
2026,3,11.0,78.93,31.27,24.31,27.79,267.0
2026,4,30.5,80.0,29.9,23.99,26.94,307.0
2026,5,11.7,77.71,32.03,24.21,28.12,243.0
2026,6,0.0,68.79,33.1,23.91,28.51,272.0
2026,7,0.0,75.36,32.34,24.86,28.6,272.0
2026,8,1.8,74.29,33.13,25.11,29.12,234.0
2026,9,67.5,84.36,31.93,24.97,28.45,237.0
2026,10,21.9,77.64,31.93,25.01,28.47,283.0
2026,11,29.9,82.29,32.37,24.93,28.65,231.0
2026,12,97.3,85.36,32.1,25.34,28.72,261.0
2026,13,55.0,76.86,32.56,25.54,29.05,258.0
2026,14,71.9,81.29,32.13,25.26,28.69,220.0
2026,15,64.1,81.5,32.2,25.64,28.92,299.0
2026,16,83.1,80.36,32.63,26.43,29.53,248.0
2026,17,54.2,82.43,32.34,25.83,29.09,330.0
2026,18,47.5,82.43,32.14,26.06,29.1,298.0
2026,19,26.0,79.29,32.46,26.76,29.61,335.0
2026,20,77.4,82.64,31.89,26.43,29.16,388.0
2026,21,101.5,84.71,31.24,26.26,28.75,363.0
2026,22,43.2,81.79,31.69,26.89,29.29,326.0
2026,23,13.3,77.79,31.97,27.9,29.94,265.0
2026,24,133.5,84.21,31.06,25.01,28.04,301.0
2026,25,29.1,80.79,31.29,26.83,29.06,341.0
2026,26,6.3,79.64,31.36,27.01,29.19,298.0
2026,27,0.0,77.86,32.0,27.59,29.79,308.0
2026,28,2.5,76.71,31.97,27.73,29.85,240.0
2026,29,30.0,79.86,30.47,26.29,28.38,244.0
2026,30,27.2,81.86,30.0,25.34,27.67,256.0
2026,31,3.4,81.71,29.71,25.77,27.74,266.0
2026,32,10.1,80.0,30.14,26.34,28.24,168.0
2026,33,15.7,80.71,30.81,26.54,28.68,94.0
2026,34,1.0,77.14,31.33,26.96,29.14,148.0
2026,35,29.9,80.07,31.24,26.46,28.85,112.0
2026,36,0.6,76.43,31.43,27.24,29.34,111.0
2026,37,11.8,77.14,32.04,27.46,29.75,126.0
2026,38,72.5,78.0,31.2,25.1,28.1,145.0
2026,39,95.0,81.5,30.8,24.9,27.8,168.0
2026,40,110.0,83.0,30.5,24.8,27.6,
2026,41,233.94,82.5,31.29,25.26,28.27,
2026,42,245.7,89.64,29.76,24.56,27.16,
2026,43,117.3,84.79,30.34,24.71,27.53,
2026,44,1.4,76.36,31.74,26.13,28.94,
2026,45,50.0,83.07,30.83,25.0,27.91,
2026,46,89.4,84.14,31.5,24.83,28.16,
2026,47,17.7,82.86,31.33,24.29,27.81,
2026,48,262.4,87.0,27.89,23.19,25.54,
2026,49,86.3,83.71,31.41,24.1,27.76,
2026,50,7.4,79.21,31.23,24.23,27.73,
2026,51,45.7,78.64,31.26,24.23,27.74,
2026,52,47.99,78.64,31.26,24.23,27.74,
