Feature,Importance
wind_speed_kmh,0.09914883556634069
visibility,0.0884871042288918
feelslike,0.0806525494698938
week,0.06511039604614764
cloudcover,0.061161453579793405
feelslikemin,0.05830173950448817
sealevelpressure,0.05364967491378191
humidity_pct,0.05364095511744668
temp_mean_c,0.05197663686563671
rainfall_mm,0.0486357088055573
dew,0.044656434455679274
temp_min_c,0.04256012285938459
solarradiation,0.035880704161607546
winddir,0.03466439004566028
feelslikemax,0.03416433974584322
solarenergy,0.032326846378849236
month,0.032139764976717417
temp_max_c,0.031481338396192306
precipcover,0.024752837681027675
uvindex,0.015232682654361557
precipprob,0.008656188833405949
year,0.0027192957132930644
